num,name,filename,sha256,length,train_end_raw,begin_raw,end_raw,start0,stop0,train_stop0,index_convention,anom_len,variant,is_distorted,is_noise,domain_goswami,is_medical,domain_official,domain_official_basis,domain_agree,source_official,deck_slides,in_tsbad,tsbad_filename,tsbad_domain,match_method,tsbad_label_n_segments,tsbad_label_start0,tsbad_label_stop0,gt_agree,audit_flags
31,DISTORTEDInternalBleeding20,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919.txt,eaf66fa6fd05cd9f0cc8060ecc1aeb4896304675edc71a9194241e915604a609,7500,2700,5759,5919,5758,5919,2700,matlab_1based_inclusive,161,DISTORTED,True,False,ABP,True,ABP,source_line,True,"The data comes from an internal bleeding dataset[1]. From the dataset, we extracted the arterial blood pressure measurements of pigs.",74,NA,NA,NA,NA,NA,NA,NA,NA,none
32,DISTORTEDInternalBleeding4,032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033.txt,90bb58ed2d8c100486d6ab744eb385960583f882a0c185cdd86ba81a588a278e,7321,1000,4675,5033,4674,5033,1000,matlab_1based_inclusive,359,DISTORTED,True,False,ABP,True,ABP,source_line,True,"The data comes from an internal bleeding dataset[1]. From the dataset, we extracted the arterial blood pressure measurements of pigs.",79,NA,NA,NA,NA,NA,NA,NA,NA,none
33,DISTORTEDInternalBleeding5,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.txt,c36ef2b78f91e35bb5101b7e853d35bed473f06b4d37c06db28cad4aa3d279f9,7415,4000,6200,6370,6199,6370,4000,matlab_1based_inclusive,171,DISTORTED,True,False,ABP,True,ABP,source_line,True,"The data comes from an internal bleeding dataset[1]. From the dataset, we extracted the arterial blood pressure measurements of pigs.",80,NA,NA,NA,NA,NA,NA,NA,NA,none
34,DISTORTEDInternalBleeding6,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629.txt,08e75edd22f5dde2288f62d9905fca368158ca30365b812673756c91062615b8,7654,1500,3474,3629,3473,3629,1500,matlab_1based_inclusive,156,DISTORTED,True,False,ABP,True,ABP,source_line,True,"The data comes from an internal bleeding dataset[1]. From the dataset, we extracted the arterial blood pressure measurements of pigs.",81,NA,NA,NA,NA,NA,NA,NA,NA,none
35,DISTORTEDInternalBleeding8,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974.txt,16ccd3d315befe99a2719b617bd7cbfb21dd63001f1b42f4a0f457ca8df88360,7501,2500,5865,5974,5864,5974,2500,matlab_1based_inclusive,110,DISTORTED,True,False,ABP,True,ABP,source_line,True,"The data comes from an internal bleeding dataset[1]. From the dataset, we extracted the arterial blood pressure measurements of pigs.",84,NA,NA,NA,NA,NA,NA,NA,NA,none
36,DISTORTEDInternalBleeding9,036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681.txt,a73d21afafbf10fd8ea0ccdcd2f150947bb7b253eed282aff43566869889854f,7501,4200,6599,6681,6598,6681,4200,matlab_1based_inclusive,83,DISTORTED,True,False,ABP,True,ABP,source_line,True,"The data comes from an internal bleeding dataset[1]. From the dataset, we extracted the arterial blood pressure measurements of pigs.",85,NA,NA,NA,NA,NA,NA,NA,NA,none
37,DISTORTEDLab2Cmac011215EPG1,037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1_5000_17210_17260.txt,331e6897552ddef61e222dc1805462d0eee8408eb22c496e8f88fef0a3894f70,30001,5000,17210,17260,17209,17260,5000,matlab_1based_inclusive,51,DISTORTED,True,False,EPG,False,EPG,source_line,True,"This is a real dataset from an insect, and Asian Citrus Psyllid, recorded using an EPG apparatus.",9,NA,NA,NA,NA,NA,NA,NA,NA,none
38,DISTORTEDLab2Cmac011215EPG2,038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2_5000_27862_27932.txt,fce7b5c43f1ddf676397a7e23c5ec6edb0e90deb0bd34bb4be12eb531354fdf9,29950,5000,27862,27932,27861,27932,5000,matlab_1based_inclusive,71,DISTORTED,True,False,EPG,False,EPG,source_line,True,"This is a real dataset from an insect, and Asian Citrus Psyllid, recorded using an EPG apparatus.",10,NA,NA,NA,NA,NA,NA,NA,NA,none
39,DISTORTEDLab2Cmac011215EPG3,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420.txt,bf8a6bb5243eec8cc4712030872a156337f61094dc70f3f0fcdf30425292318c,29950,5000,16390,16420,16389,16420,5000,matlab_1based_inclusive,31,DISTORTED,True,False,EPG,False,EPG,source_line,True,"This is a real dataset from an insect, and Asian Citrus Psyllid, recorded using an EPG apparatus.",11,NA,NA,NA,NA,NA,NA,NA,NA,none
40,DISTORTEDLab2Cmac011215EPG4,040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4_6000_17390_17520.txt,b8473d208caa69f2f2ee5865b8b8af2cec54517d63c01e9d451e470d32108521,30066,6000,17390,17520,17389,17520,6000,matlab_1based_inclusive,131,DISTORTED,True,False,EPG,False,EPG,source_line,True,"This is a real dataset from an insect, and Asian Citrus Psyllid, recorded using an EPG apparatus.",12,NA,NA,NA,NA,NA,NA,NA,NA,none
41,DISTORTEDLab2Cmac011215EPG5,041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5_7000_17390_17520.txt,727b4ca43ea0c7562b03592738b10830e819b2567cc92bcabde8d1b5b70f33de,29826,7000,17390,17520,17389,17520,7000,matlab_1based_inclusive,131,DISTORTED,True,False,EPG,False,EPG,source_line,True,"This is a real dataset from an insect, and Asian Citrus Psyllid, recorded using an EPG apparatus.",13,NA,NA,NA,NA,NA,NA,NA,NA,none
42,DISTORTEDLab2Cmac011215EPG6,042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6_7000_12190_12420.txt,3eb98c85f8e2b3063900ecec683fcc63e3f2b66529f9cc768c423d8ea45b2886,29859,7000,12190,12420,12189,12420,7000,matlab_1based_inclusive,231,DISTORTED,True,False,EPG,False,EPG,source_line,True,"This is a real dataset from an insect, and Asian Citrus Psyllid, recorded using an EPG apparatus.",14,NA,NA,NA,NA,NA,NA,NA,NA,none
43,DISTORTEDMesoplodonDensirostris,043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440.txt,241271e6b255d97184928478470632deaa4525a0bd005f4f4f2b87ed4860b103,24667,10000,19280,19440,19279,19440,10000,matlab_1based_inclusive,161,DISTORTED,True,False,Acceleration,False,Acceleration,source_line,True,This data comes from an accelerometer attached to a Blainville's beaked whale.,54;100,NA,NA,NA,NA,NA,NA,NA,NA,none
44,DISTORTEDPowerDemand1,044_UCR_Anomaly_DISTORTEDPowerDemand1_9000_18485_18821.txt,a7ca3d07ad8d56e274197c5f617da49fb0176c438add92d58a1a97aaf0d8280d,29931,9000,18485,18821,18484,18821,9000,matlab_1based_inclusive,337,DISTORTED,True,False,Power Demand,False,Power Demand,source_line,True,The data comes from an Italian power demand dataset. (from 1/1/1995 to 5/31/1998),75,NA,NA,NA,NA,NA,NA,NA,NA,none
45,DISTORTEDPowerDemand2,045_UCR_Anomaly_DISTORTEDPowerDemand2_14000_23357_23717.txt,39e72cdcd0c18022f06012b49020bdc01bb0424a12a78f6fb1eeee7c4ff65e9e,29931,14000,23357,23717,23356,23717,14000,matlab_1based_inclusive,361,DISTORTED,True,False,Power Demand,False,Power Demand,source_line,True,The data comes from an Italian power demand dataset. (from 1/1/1995 to 5/31/1998),76,NA,NA,NA,NA,NA,NA,NA,NA,none
46,DISTORTEDPowerDemand3,046_UCR_Anomaly_DISTORTEDPowerDemand3_16000_23405_23477.txt,9810ba6b50d7d589b6d4c170bdf4b4d53f18ef8a1ecb41bd5f5cf4b0c00c0962,29931,16000,23405,23477,23404,23477,16000,matlab_1based_inclusive,73,DISTORTED,True,False,Power Demand,False,Power Demand,source_line,True,"The data comes from an Italian power demand dataset. (from 1/1/1995 to 5/31/1998) The red curve indicates the pig arterial blood pressure, and the yellow curve indicates the Italian power demand. These two curves look similar.",77,NA,NA,NA,NA,NA,NA,NA,NA,none
47,DISTORTEDPowerDemand4,047_UCR_Anomaly_DISTORTEDPowerDemand4_18000_24005_24077.txt,39394bdf1b84658899f86f6062838ecdba404c63c612b9d807fc573752e1aff6,29931,18000,24005,24077,24004,24077,18000,matlab_1based_inclusive,73,DISTORTED,True,False,Power Demand,False,Power Demand,source_line,True,Italian Power Demand,78,NA,NA,NA,NA,NA,NA,NA,NA,none
48,DISTORTEDTkeepFifthMARS,048_UCR_Anomaly_DISTORTEDTkeepFifthMARS_3500_5988_6085.txt,a93a5fa9a5c95f1a3e975f1bbc7cf8f6adac879b6d95d7605337b8e38798ae7e,11334,3500,5988,6085,5987,6085,3500,matlab_1based_inclusive,98,DISTORTED,True,False,NASA,False,NASA,source_line,True,"This is a real dataset from NASA spacecraft,  that appeared in a KDD 2018 paper.",19,NA,NA,NA,NA,NA,NA,NA,NA,none
49,DISTORTEDTkeepFirstMARS,049_UCR_Anomaly_DISTORTEDTkeepFirstMARS_3500_5365_5380.txt,b8c044c35a05bb686bd6062c4b36df2e866026d3ae549a5c7869bb980ada0b5f,11406,3500,5365,5380,5364,5380,3500,matlab_1based_inclusive,16,DISTORTED,True,False,NASA,False,NASA,source_line,True,"This is a real dataset from NASA spacecraft,  that appeared in a KDD 2018 paper.",15,NA,NA,NA,NA,NA,NA,NA,NA,none
50,DISTORTEDTkeepForthMARS,050_UCR_Anomaly_DISTORTEDTkeepForthMARS_3500_5988_6085.txt,b1013e448307799d8973b4e9596398332e3b85215cafb13cc8a1711b7cedd583,11308,3500,5988,6085,5987,6085,3500,matlab_1based_inclusive,98,DISTORTED,True,False,NASA,False,NASA,source_line,True,"This is a real dataset from NASA spacecraft,  that appeared in a KDD 2018 paper.",18,NA,NA,NA,NA,NA,NA,NA,NA,none
51,DISTORTEDTkeepSecondMARS,051_UCR_Anomaly_DISTORTEDTkeepSecondMARS_3500_9330_9340.txt,58196dccc482e44ce36dddc5cc59f04c63bb4b8effad8ce9f85681e8bd8b8b1f,11388,3500,9330,9340,9329,9340,3500,matlab_1based_inclusive,11,DISTORTED,True,False,NASA,False,NASA,source_line,True,"This is a real dataset from NASA spacecraft,  that appeared in a KDD 2018 paper.",16,NA,NA,NA,NA,NA,NA,NA,NA,none
52,DISTORTEDTkeepThirdMARS,052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809.txt,cf4119f581310a6afadd01ef53dada8bbe197d56a8ed8fdece19eae106e1648d,11308,3500,4711,4809,4710,4809,3500,matlab_1based_inclusive,99,DISTORTED,True,False,NASA,False,NASA,source_line,True,"This is a real dataset from NASA spacecraft,  that appeared in a KDD 2018 paper.",17,NA,NA,NA,NA,NA,NA,NA,NA,none
53,DISTORTEDWalkingAceleration1,053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995.txt,fb9d208282ac882717053f3865ebf0e721964f61a63e9e7d0ca45990bffc8f64,6684,1500,2764,2995,2763,2995,1500,matlab_1based_inclusive,232,DISTORTED,True,False,Acceleration,False,Acceleration,source_line,True,"The dataset is built based on an activity recognition system benchmark data[2]. We extracted an acceleration data measured by the sensor when an experimental subject is walking. Since the acceleration is 3-dimensional, we obtained our data by averaging the values in x, y and z axes.",88,NA,NA,NA,NA,NA,NA,NA,NA,none
54,DISTORTEDWalkingAceleration5,054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979.txt,552c90f7228d92b7c3d6b86bcd1b754617131df814e24d88e5f8f5fdfb4f58a7,6684,2700,5920,5979,5919,5979,2700,matlab_1based_inclusive,60,DISTORTED,True,False,Acceleration,False,Acceleration,source_line,True,"The dataset is built based on an activity recognition system benchmark data[2]. We extracted an acceleration data measured by the sensor when an experimental subject is walking. Since the acceleration is 3-dimensional, we obtained our data by averaging the values in x, y and z axes.",89,NA,NA,NA,NA,NA,NA,NA,NA,none
55,DISTORTEDapneaecg2,055_UCR_Anomaly_DISTORTEDapneaecg2_10000_20950_21100.txt,9056ff4e0ae2f5c721f2ed861164063eb8f01fe805355b94183fdaec9353426e,38501,10000,20950,21100,20949,21100,10000,matlab_1based_inclusive,151,DISTORTED,True,False,ECG,True,ECG,source_line,True,"Selected input: record apnea-ecg/b05 , annotator apn , from 1:03:20.000 to 2:03:20.000 | Apnea-ECG Database (apnea-ecg)",58,NA,NA,NA,NA,NA,NA,NA,NA,none
56,DISTORTEDapneaecg3,056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211.txt,034d2da9ce10bdc96915d7b6cff81966beaa4acb93f7530564f18b28b68d7b0a,38379,5000,11111,11211,11110,11211,5000,matlab_1based_inclusive,101,DISTORTED,True,False,ECG,True,ECG,source_line,True,"Selected input: record apnea-ecg/b05 , annotator apn , from 1:03:20.000 to 2:03:20.000 | Apnea-ECG Database (apnea-ecg)",59,NA,NA,NA,NA,NA,NA,NA,NA,none
