num_a,num_b,name_a,name_b,same_name_group,domain,length_a,length_b,train_end_a,train_end_b,n_compared,corr,same_recording
25,133,DISTORTEDInternalBleeding14,InternalBleeding14,True,ABP,7501,7501,2800,2800,2800,0.989107,True
26,134,DISTORTEDInternalBleeding15,InternalBleeding15,True,ABP,7601,7601,1700,1700,1700,0.993121,True
27,98,DISTORTEDInternalBleeding16,NOISEInternalBleeding16,True,ABP,7501,7501,1200,1200,1200,0.983236,True
27,135,DISTORTEDInternalBleeding16,InternalBleeding16,True,ABP,7501,7501,1200,1200,1200,0.988626,True
98,135,NOISEInternalBleeding16,InternalBleeding16,True,ABP,7501,7501,1200,1200,1200,0.994961,True
28,136,DISTORTEDInternalBleeding17,InternalBleeding17,True,ABP,7500,7500,1600,1600,1600,0.989378,True
29,137,DISTORTEDInternalBleeding18,InternalBleeding18,True,ABP,7500,7500,2300,2300,2300,0.985848,True
30,138,DISTORTEDInternalBleeding19,InternalBleeding19,True,ABP,7500,7500,3000,3000,3000,0.989246,True
31,139,DISTORTEDInternalBleeding20,InternalBleeding20,True,ABP,7500,7500,2700,2700,2700,0.989756,True
32,140,DISTORTEDInternalBleeding4,InternalBleeding4,True,ABP,7321,7321,1000,1000,1000,0.988534,True
33,141,DISTORTEDInternalBleeding5,InternalBleeding5,True,ABP,7415,7415,4000,4000,4000,0.991450,True
34,99,DISTORTEDInternalBleeding6,NOISEInternalBleeding6,True,ABP,7654,7654,1500,1500,1500,0.988066,True
34,142,DISTORTEDInternalBleeding6,InternalBleeding6,True,ABP,7654,7654,1500,1500,1500,0.992094,True
99,142,NOISEInternalBleeding6,InternalBleeding6,True,ABP,7654,7654,1500,1500,1500,0.995040,True
35,143,DISTORTEDInternalBleeding8,InternalBleeding8,True,ABP,7501,7501,2500,2500,2500,0.993202,True
36,144,DISTORTEDInternalBleeding9,InternalBleeding9,True,ABP,7501,7501,4200,4200,4200,0.990156,True
37,100,DISTORTEDLab2Cmac011215EPG1,NOISELab2Cmac011215EPG1,True,EPG,30001,30001,5000,5000,5000,0.986026,True
37,145,DISTORTEDLab2Cmac011215EPG1,Lab2Cmac011215EPG1,True,EPG,30001,30001,5000,5000,5000,0.990959,True
100,145,NOISELab2Cmac011215EPG1,Lab2Cmac011215EPG1,True,EPG,30001,30001,5000,5000,5000,0.995123,True
38,146,DISTORTEDLab2Cmac011215EPG2,Lab2Cmac011215EPG2,True,EPG,29950,29950,5000,5000,5000,0.991130,True
39,147,DISTORTEDLab2Cmac011215EPG3,Lab2Cmac011215EPG3,True,EPG,29950,29950,5000,5000,5000,0.991206,True
40,101,DISTORTEDLab2Cmac011215EPG4,NOISELab2Cmac011215EPG4,True,EPG,30066,30066,6000,6000,5000,0.983898,True
40,148,DISTORTEDLab2Cmac011215EPG4,Lab2Cmac011215EPG4,True,EPG,30066,30066,6000,6000,5000,0.989022,True
101,148,NOISELab2Cmac011215EPG4,Lab2Cmac011215EPG4,True,EPG,30066,30066,6000,6000,5000,0.995169,True
41,149,DISTORTEDLab2Cmac011215EPG5,Lab2Cmac011215EPG5,True,EPG,29826,29826,7000,7000,5000,0.992353,True
42,150,DISTORTEDLab2Cmac011215EPG6,Lab2Cmac011215EPG6,True,EPG,29859,29859,7000,7000,5000,0.991621,True
43,102,DISTORTEDMesoplodonDensirostris,NOISEMesoplodonDensirostris,True,Acceleration,24667,24667,10000,10000,5000,0.973958,True
43,151,DISTORTEDMesoplodonDensirostris,MesoplodonDensirostris,True,Acceleration,24667,24667,10000,10000,5000,0.982004,True
102,151,NOISEMesoplodonDensirostris,MesoplodonDensirostris,True,Acceleration,24667,24667,10000,10000,5000,0.991228,True
44,152,DISTORTEDPowerDemand1,PowerDemand1,True,Power Demand,29931,29931,9000,9000,5000,0.990244,True
45,153,DISTORTEDPowerDemand2,PowerDemand2,True,Power Demand,29931,29931,14000,14000,5000,0.990215,True
46,154,DISTORTEDPowerDemand3,PowerDemand3,True,Power Demand,29931,29931,16000,16000,5000,0.989530,True
47,155,DISTORTEDPowerDemand4,PowerDemand4,True,Power Demand,29931,29931,18000,18000,5000,0.989378,True
48,156,DISTORTEDTkeepFifthMARS,TkeepFifthMARS,True,NASA,11334,11334,3500,3500,3500,0.990512,True
49,157,DISTORTEDTkeepFirstMARS,TkeepFirstMARS,True,NASA,11406,11406,3500,3500,3500,0.990652,True
50,158,DISTORTEDTkeepForthMARS,TkeepForthMARS,True,NASA,11308,11308,3500,3500,3500,0.992322,True
51,159,DISTORTEDTkeepSecondMARS,TkeepSecondMARS,True,NASA,11388,11388,3500,3500,3500,0.986851,True
52,103,DISTORTEDTkeepThirdMARS,NOISETkeepThirdMARS,True,NASA,11308,11308,3500,3500,3500,0.988070,True
52,160,DISTORTEDTkeepThirdMARS,TkeepThirdMARS,True,NASA,11308,11308,3500,3500,3500,0.992701,True
103,160,NOISETkeepThirdMARS,TkeepThirdMARS,True,NASA,11308,11308,3500,3500,3500,0.995292,True
53,161,DISTORTEDWalkingAceleration1,WalkingAceleration1,True,Acceleration,6684,6684,1500,1500,1500,0.991492,True
54,162,DISTORTEDWalkingAceleration5,WalkingAceleration5,True,Acceleration,6684,6684,2700,2700,2700,0.989351,True
55,163,DISTORTEDapneaecg2,apneaecg2,True,ECG,38501,38501,10000,10000,5000,0.987375,True
56,164,DISTORTEDapneaecg3,apneaecg3,True,ECG,38379,38379,5000,5000,5000,0.988216,True
57,104,DISTORTEDapneaecg4,NOISEapneaecg4,True,ECG,38269,38269,6000,6000,5000,0.981771,True
57,165,DISTORTEDapneaecg4,apneaecg4,True,ECG,38269,38269,6000,6000,5000,0.987633,True
104,165,NOISEapneaecg4,apneaecg4,True,ECG,38269,38269,6000,6000,5000,0.994167,True
58,166,DISTORTEDapneaecg,apneaecg,True,ECG,38501,38501,10000,10000,5000,0.992397,True
59,167,DISTORTEDgait1,gait1,True,Gait,65000,65000,20000,20000,5000,0.986135,True
60,168,DISTORTEDgait2,gait2,True,Gait,65000,65000,22000,22000,5000,0.985103,True
61,105,DISTORTEDgait3,NOISEgait3,True,Gait,65000,65000,24500,24500,5000,0.980958,True
61,169,DISTORTEDgait3,gait3,True,Gait,65000,65000,24500,24500,5000,0.987664,True
105,169,NOISEgait3,gait3,True,Gait,65000,65000,24500,24500,5000,0.993089,True
62,170,DISTORTEDgaitHunt1,gaitHunt1,True,Gait,64000,64000,18500,18500,5000,0.982729,True
63,106,DISTORTEDgaitHunt2,NOISEgaitHunt2,True,Gait,64000,64000,18500,18500,5000,0.976755,True
63,171,DISTORTEDgaitHunt2,gaitHunt2,True,Gait,64000,64000,18500,18500,5000,0.984218,True
106,171,NOISEgaitHunt2,gaitHunt2,True,Gait,64000,64000,18500,18500,5000,0.992595,True
64,172,DISTORTEDgaitHunt3,gaitHunt3,True,Gait,64000,64000,23400,23400,5000,0.985898,True
65,173,DISTORTEDinsectEPG1,insectEPG1,True,EPG,10001,10001,3000,3000,3000,0.988936,True
66,174,DISTORTEDinsectEPG2,insectEPG2,True,EPG,9998,9998,3700,3700,3700,0.987947,True
67,107,DISTORTEDinsectEPG3,NOISEinsectEPG3,True,EPG,9998,9998,5200,5200,5000,0.986991,True
67,175,DISTORTEDinsectEPG3,insectEPG3,True,EPG,9998,9998,5200,5200,5000,0.991815,True
107,175,NOISEinsectEPG3,insectEPG3,True,EPG,9998,9998,5200,5200,5000,0.994834,True
68,176,DISTORTEDinsectEPG4,insectEPG4,True,EPG,9998,9998,1300,1300,1300,0.990252,True
69,177,DISTORTEDinsectEPG5,insectEPG5,True,EPG,10028,10028,3200,3200,3200,0.988732,True
70,178,DISTORTEDltstdbs30791AI,ltstdbs30791AI,True,ECG,56123,56123,17555,17555,5000,0.991187,True
71,179,DISTORTEDltstdbs30791AS,ltstdbs30791AS,True,ECG,55000,55000,23000,23000,5000,0.991545,True
72,180,DISTORTEDltstdbs30791ES,ltstdbs30791ES,True,ECG,55000,55000,20000,20000,5000,0.991931,True
73,181,DISTORTEDpark3m,park3m,True,Gait,90000,90000,60000,60000,5000,0.979744,True
74,182,DISTORTEDqtdbSel1005V,qtdbSel1005V,True,ECG,36001,36001,4000,4000,4000,0.986084,True
75,183,DISTORTEDqtdbSel100MLII,qtdbSel100MLII,True,ECG,30000,30000,4000,4000,4000,0.988510,True
76,184,DISTORTEDresperation10,resperation10,True,RESP,195000,195000,48000,48000,5000,0.990037,True
77,185,DISTORTEDresperation11,resperation11,True,RESP,195000,195000,58000,58000,5000,0.990424,True
78,186,DISTORTEDresperation1,resperation1,True,RESP,200000,200000,100000,100000,5000,0.991555,True
79,80,DISTORTEDresperation2,DISTORTEDresperation2,True,RESP,200051,190050,30000,30000,5000,0.977083,True
79,108,DISTORTEDresperation2,NOISEresperation2,True,RESP,200051,200051,30000,30000,5000,0.984351,True
79,187,DISTORTEDresperation2,resperation2,True,RESP,200051,200051,30000,30000,5000,0.989036,True
79,188,DISTORTEDresperation2,resperation2,True,RESP,200051,190050,30000,30000,5000,0.989036,True
80,108,DISTORTEDresperation2,NOISEresperation2,True,RESP,190050,200051,30000,30000,5000,0.983875,True
80,187,DISTORTEDresperation2,resperation2,True,RESP,190050,200051,30000,30000,5000,0.988998,True
80,188,DISTORTEDresperation2,resperation2,True,RESP,190050,190050,30000,30000,5000,0.988998,True
108,187,NOISEresperation2,resperation2,True,RESP,200051,200051,30000,30000,5000,0.995079,True
108,188,NOISEresperation2,resperation2,True,RESP,200051,190050,30000,30000,5000,0.995079,True
187,188,resperation2,resperation2,True,RESP,200051,190050,30000,30000,5000,1.000000,True
81,189,DISTORTEDresperation3,resperation3,True,RESP,190100,190100,45000,45000,5000,0.991035,True
82,190,DISTORTEDresperation4,resperation4,True,RESP,195250,195250,70000,70000,5000,0.989828,True
83,191,DISTORTEDresperation9,resperation9,True,RESP,195000,195000,38000,38000,5000,0.989582,True
84,192,DISTORTEDs20101mML2,s20101mML2,True,ECG,40000,40000,12000,12000,5000,0.991702,True
85,193,DISTORTEDs20101m,s20101m,True,ECG,40000,40000,10000,10000,5000,0.990926,True
86,194,DISTORTEDsddb49,sddb49,True,ECG,80000,80000,20000,20000,5000,0.977145,True
87,195,DISTORTEDsel840mECG1,sel840mECG1,True,ECG,60000,60000,17000,17000,5000,0.989048,True
88,196,DISTORTEDsel840mECG2,sel840mECG2,True,ECG,57001,57001,20000,20000,5000,0.990479,True
89,197,DISTORTEDtiltAPB1,tiltAPB1,True,ABP,130001,130001,100000,100000,5000,0.989832,True
90,198,DISTORTEDtiltAPB2,tiltAPB2,True,ABP,128767,128767,50000,50000,5000,0.992241,True
91,199,DISTORTEDtiltAPB3,tiltAPB3,True,ABP,129489,129489,40000,40000,5000,0.991364,True
92,200,DISTORTEDtiltAPB4,tiltAPB4,True,ABP,128001,128001,20000,20000,5000,0.991657,True
201,202,CHARISfive,CHARISfive,True,ECG,41347,41790,10000,10411,5000,0.013806,False
201,203,CHARISfive,CHARISfive,True,ECG,41347,41612,10000,10500,5000,-0.003882,False
201,204,CHARISfive,CHARISfive,True,ECG,41347,41999,10000,12412,5000,-0.197485,False
201,205,CHARISfive,CHARISfive,True,ECG,41347,39870,10000,9812,5000,0.089875,False
202,203,CHARISfive,CHARISfive,True,ECG,41790,41612,10411,10500,5000,-0.000660,False
202,204,CHARISfive,CHARISfive,True,ECG,41790,41999,10411,12412,5000,0.265862,False
202,205,CHARISfive,CHARISfive,True,ECG,41790,39870,10411,9812,5000,-0.242024,False
203,204,CHARISfive,CHARISfive,True,ECG,41612,41999,10500,12412,5000,-0.030041,False
203,205,CHARISfive,CHARISfive,True,ECG,41612,39870,10500,9812,5000,-0.058356,False
204,205,CHARISfive,CHARISfive,True,ECG,41999,39870,12412,9812,5000,-0.091924,False
206,207,CHARISten,CHARISten,True,ECG,42000,39870,25130,3165,3165,0.080905,False
206,208,CHARISten,CHARISten,True,ECG,42000,40870,25130,5130,5000,-0.046909,False
207,208,CHARISten,CHARISten,True,ECG,39870,40870,3165,5130,3165,-0.134495,False
210,211,Italianpowerdemand,Italianpowerdemand,True,Power Demand,119819,119580,36123,38113,5000,-0.120323,False
210,212,Italianpowerdemand,Italianpowerdemand,True,Power Demand,119819,29931,36123,8913,5000,-0.052309,False
211,212,Italianpowerdemand,Italianpowerdemand,True,Power Demand,119580,29931,38113,8913,5000,0.077130,False
213,214,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,300000,299690,33211,34211,5000,-0.099292,False
213,215,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,300000,299990,33211,36276,5000,0.947784,False
213,216,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,300000,299890,33211,37216,5000,0.043842,False
213,217,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,300000,299690,33211,38211,5000,-0.099292,False
213,218,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,300000,299940,33211,41117,5000,-0.045543,False
213,219,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,300000,299840,33211,41612,5000,-0.065471,False
213,220,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,300000,299790,33211,43217,5000,-0.103966,False
213,221,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,300000,298340,33211,45616,5000,-0.061241,False
214,215,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299690,299990,34211,36276,5000,-0.105564,False
214,216,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299690,299890,34211,37216,5000,0.048178,False
214,217,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299690,299690,34211,38211,5000,1.000000,True
214,218,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299690,299940,34211,41117,5000,0.094604,False
214,219,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299690,299840,34211,41612,5000,0.118292,False
214,220,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299690,299790,34211,43217,5000,0.271675,False
214,221,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299690,298340,34211,45616,5000,-0.011612,False
215,216,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299990,299890,36276,37216,5000,0.045606,False
215,217,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299990,299690,36276,38211,5000,-0.105564,False
215,218,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299990,299940,36276,41117,5000,-0.051233,False
215,219,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299990,299840,36276,41612,5000,-0.063589,False
215,220,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299990,299790,36276,43217,5000,-0.099145,False
215,221,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299990,298340,36276,45616,5000,-0.005198,False
216,217,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299890,299690,37216,38211,5000,0.048178,False
216,218,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299890,299940,37216,41117,5000,0.109005,False
216,219,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299890,299840,37216,41612,5000,-0.083135,False
216,220,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299890,299790,37216,43217,5000,-0.016616,False
216,221,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299890,298340,37216,45616,5000,-0.097882,False
217,218,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299690,299940,38211,41117,5000,0.094604,False
217,219,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299690,299840,38211,41612,5000,0.118292,False
217,220,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299690,299790,38211,43217,5000,0.271675,False
217,221,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299690,298340,38211,45616,5000,-0.011612,False
218,219,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299940,299840,41117,41612,5000,-0.028440,False
218,220,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299940,299790,41117,43217,5000,0.026532,False
218,221,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299940,298340,41117,45616,5000,-0.099115,False
219,220,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299840,299790,41612,43217,5000,0.127719,False
219,221,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299840,298340,41612,45616,5000,-0.080112,False
220,221,STAFFIIIDatabase,STAFFIIIDatabase,True,ECG,299790,298340,43217,45616,5000,-0.125549,False
222,223,mit14046longtermecg,mit14046longtermecg,True,ECG,211502,180386,56123,74123,5000,0.012005,False
222,224,mit14046longtermecg,mit14046longtermecg,True,ECG,211502,199753,56123,76123,5000,-0.021630,False
222,225,mit14046longtermecg,mit14046longtermecg,True,ECG,211502,199999,56123,81214,5000,-0.737745,False
222,226,mit14046longtermecg,mit14046longtermecg,True,ECG,211502,190001,56123,96123,5000,0.010233,False
223,224,mit14046longtermecg,mit14046longtermecg,True,ECG,180386,199753,74123,76123,5000,-0.021648,False
223,225,mit14046longtermecg,mit14046longtermecg,True,ECG,180386,199999,74123,81214,5000,-0.007194,False
223,226,mit14046longtermecg,mit14046longtermecg,True,ECG,180386,190001,74123,96123,5000,-0.001953,False
224,225,mit14046longtermecg,mit14046longtermecg,True,ECG,199753,199999,76123,81214,5000,0.008794,False
224,226,mit14046longtermecg,mit14046longtermecg,True,ECG,199753,190001,76123,96123,5000,0.044131,False
225,226,mit14046longtermecg,mit14046longtermecg,True,ECG,199999,190001,81214,96123,5000,-0.008632,False
227,228,mit14134longtermecg,mit14134longtermecg,True,ECG,59302,59000,11231,11361,5000,0.002682,False
227,229,mit14134longtermecg,mit14134longtermecg,True,ECG,59302,59000,11231,16363,5000,-0.003561,False
227,230,mit14134longtermecg,mit14134longtermecg,True,ECG,59302,59000,11231,19363,5000,0.000838,False
227,231,mit14134longtermecg,mit14134longtermecg,True,ECG,59302,59000,11231,8763,5000,0.025201,False
227,232,mit14134longtermecg,mit14134longtermecg,True,ECG,59302,59000,11231,8763,5000,0.025201,False
228,229,mit14134longtermecg,mit14134longtermecg,True,ECG,59000,59000,11361,16363,5000,0.018496,False
228,230,mit14134longtermecg,mit14134longtermecg,True,ECG,59000,59000,11361,19363,5000,0.036969,False
228,231,mit14134longtermecg,mit14134longtermecg,True,ECG,59000,59000,11361,8763,5000,-0.015054,False
228,232,mit14134longtermecg,mit14134longtermecg,True,ECG,59000,59000,11361,8763,5000,-0.015054,False
229,230,mit14134longtermecg,mit14134longtermecg,True,ECG,59000,59000,16363,19363,5000,-0.017157,False
229,231,mit14134longtermecg,mit14134longtermecg,True,ECG,59000,59000,16363,8763,5000,0.082452,False
229,232,mit14134longtermecg,mit14134longtermecg,True,ECG,59000,59000,16363,8763,5000,0.082452,False
230,231,mit14134longtermecg,mit14134longtermecg,True,ECG,59000,59000,19363,8763,5000,0.038097,False
230,232,mit14134longtermecg,mit14134longtermecg,True,ECG,59000,59000,19363,8763,5000,0.038097,False
231,232,mit14134longtermecg,mit14134longtermecg,True,ECG,59000,59000,8763,8763,5000,1.000000,True
233,234,mit14157longtermecg,mit14157longtermecg,True,ECG,92710,98710,18913,18913,5000,0.061190,False
233,235,mit14157longtermecg,mit14157longtermecg,True,ECG,92710,97300,18913,18913,5000,-0.030197,False
233,236,mit14157longtermecg,mit14157longtermecg,True,ECG,92710,97000,18913,19313,5000,-0.027955,False
233,237,mit14157longtermecg,mit14157longtermecg,True,ECG,92710,97000,18913,19313,5000,-0.029898,False
233,238,mit14157longtermecg,mit14157longtermecg,True,ECG,92710,99000,18913,21311,5000,0.028259,False
234,235,mit14157longtermecg,mit14157longtermecg,True,ECG,98710,97300,18913,18913,5000,0.006422,False
234,236,mit14157longtermecg,mit14157longtermecg,True,ECG,98710,97000,18913,19313,5000,-0.142371,False
234,237,mit14157longtermecg,mit14157longtermecg,True,ECG,98710,97000,18913,19313,5000,0.005784,False
234,238,mit14157longtermecg,mit14157longtermecg,True,ECG,98710,99000,18913,21311,5000,0.127031,False
235,236,mit14157longtermecg,mit14157longtermecg,True,ECG,97300,97000,18913,19313,5000,0.014568,False
235,237,mit14157longtermecg,mit14157longtermecg,True,ECG,97300,97000,18913,19313,5000,0.003852,False
235,238,mit14157longtermecg,mit14157longtermecg,True,ECG,97300,99000,18913,21311,5000,0.256443,False
236,237,mit14157longtermecg,mit14157longtermecg,True,ECG,97000,97000,19313,19313,5000,-0.030312,False
236,238,mit14157longtermecg,mit14157longtermecg,True,ECG,97000,99000,19313,21311,5000,-0.091724,False
